row_index,p10,p50,p90,prob_band,hhid
0,6.744604198327085e-05,0.00018558678813800577,0.0005361204691693393,At-Risk,23043707
1,0.9326832242107619,0.9746045363759179,0.9895987811255658,Likely Flourishing,23120547
2,0.3355330389814438,0.49683458436573025,0.6628642359252419,Moderate,23197456
3,0.9968994701449965,0.9980389410860264,0.9987575682297545,Likely Flourishing,23197458
4,0.9997524527956064,0.9999257776819259,0.9999764862649857,Likely Flourishing,23235909
5,0.9998506306063755,0.9999302030117911,0.9999637777135116,Likely Flourishing,23082205
6,0.9999925258039053,0.9999969101533281,0.9999988470057338,Likely Flourishing,23312807
7,0.9993895185326938,0.9996455419618508,0.9997818130021078,Likely Flourishing,23274306
8,0.999944132290292,0.999969244115378,0.9999827556369013,Likely Flourishing,23035550
9,0.8634478334492915,0.9063377060779276,0.9377281158359174,Likely Flourishing,23274307
10,0.9993785884113623,0.9996783031950482,0.9998407784290777,Likely Flourishing,23095590
11,0.5897639505985951,0.6919148497374027,0.7803086985093977,Likely Flourishing,23005326
12,0.8979153463343501,0.9307908451449199,0.9553678521716032,Likely Flourishing,23312811
13,0.9422258674849112,0.9690442864724522,0.9833646104291947,Likely Flourishing,23197459
14,0.9897095320495369,0.9930847756841592,0.9954810474672279,Likely Flourishing,23057061
15,0.7313904956441449,0.7996041128866753,0.8542496460775876,Likely Flourishing,23298707
16,0.9995440326585401,0.9998010983005842,0.9999158820093185,Likely Flourishing,23249185
17,2.5513049403728522e-05,0.0005336870784871684,0.009482963446987637,At-Risk,23312813
18,0.9780090019305737,0.9850896309211243,0.989688016712674,Likely Flourishing,23298709
19,1.068087253488918e-09,1.96454258628846e-08,3.4317170986870114e-07,At-Risk,23364588
20,0.48817508390582937,0.649542583265842,0.7798785749251079,Moderate,23018650
21,0.9999174630194367,0.9999602860912236,0.9999804930447668,Likely Flourishing,23082212
22,0.6710618680832814,0.7938151800701543,0.8766441199246715,Likely Flourishing,23364589
23,0.4133481994949617,0.5239627747185354,0.6343883611567326,Moderate,23183385
24,0.9999108735394212,0.9999488679134194,0.9999717451024047,Likely Flourishing,23029605
25,5.082830757054761e-07,1.36165761101909e-06,4.1107887174355055e-06,At-Risk,23287661
26,1.96160295352328e-05,4.0303433872947495e-05,8.657416801728813e-05,At-Risk,23274311
27,0.9990440838501701,0.9995311734523786,0.9997663618011409,Likely Flourishing,23159211
28,0.0003246366347304206,0.0009629091123011565,0.0026316377378798462,At-Risk,23298711
29,0.9456095339642994,0.9642618850993532,0.9756687143783261,Likely Flourishing,23073942
30,0.9999701937712688,0.9999814434101362,0.9999883682247859,Likely Flourishing,23274314
31,0.7199498177460979,0.8090229057976176,0.8739913992112976,Likely Flourishing,23183388
32,0.9999412901029682,0.9999879994100864,0.9999976337694072,Likely Flourishing,23005331
33,0.9772217290194293,0.9890637028072424,0.9944738573496414,Likely Flourishing,23159215
34,0.7829890665201349,0.90975903695772,0.9649123075358628,Likely Flourishing,23221540
35,0.9928805371819688,0.9972906401453325,0.9989561894060363,Likely Flourishing,23260210
36,6.482146633727778e-05,0.0002799116680907726,0.0011625684208834068,At-Risk,23343013
37,0.23959225652139232,0.320861434686628,0.41404801370594146,At-Risk,23043720
38,0.9996530839789349,0.9997794434844152,0.9998674665704224,Likely Flourishing,23249190
39,0.999984620129705,0.9999904274988358,0.9999941645998971,Likely Flourishing,23197466
40,0.9999153411163364,0.9999528481072384,0.999974308780052,Likely Flourishing,23274318
41,0.9999337984121829,0.9999662083939995,0.9999816290798506,Likely Flourishing,23235922
42,0.9999133319664443,0.9999669034345646,0.9999861556751799,Likely Flourishing,23249194
43,0.9967360385746192,0.9988457669377477,0.99960299163922,Likely Flourishing,23120569
44,0.9998939648368225,0.9999404092733557,0.9999660543704483,Likely Flourishing,23364596
45,0.9999863915563981,0.9999954933579391,0.9999984229985407,Likely Flourishing,23018660
46,0.9999503801017182,0.9999710711890264,0.9999836208838605,Likely Flourishing,23306789
47,0.00617834975951848,0.011899146150419085,0.023330963036740177,At-Risk,23120570
48,2.595795862817536e-06,1.3811436664185076e-05,7.047971977780622e-05,At-Risk,23183391
49,0.9920097010334336,0.9967093061116818,0.9986533813327823,Likely Flourishing,23221545
50,0.9927810770736887,0.9951888888189272,0.9968262095979102,Likely Flourishing,23172660
51,0.9192698883996252,0.9919832656443843,0.9992211818994212,Likely Flourishing,23120572
52,0.0004572176721566014,0.001510270294116208,0.005312707587701778,At-Risk,23375565
53,0.999981328217901,0.9999916978910142,0.9999960298663909,Likely Flourishing,23095604
54,0.9999703345051095,0.9999815114465187,0.9999883724241123,Likely Flourishing,23037724
55,0.9999783412207969,0.9999873082053277,0.9999933264310034,Likely Flourishing,23235924
56,0.8529484346502504,0.9141206623217344,0.9488975091903937,Likely Flourishing,23326267
57,7.305348079556853e-05,0.00013483699908095918,0.00024356951027924446,At-Risk,23057074
58,0.999939643003463,0.9999668050905348,0.9999820792604099,Likely Flourishing,23221547
59,0.9806163256576305,0.9878492177119368,0.9918934402696025,Likely Flourishing,23067959
60,0.9538092012877784,0.9714130032348456,0.9822407342784507,Likely Flourishing,23120574
61,0.9993131826223923,0.999563962515045,0.9997256676850537,Likely Flourishing,23243009
62,0.9962504552536987,0.9987685402955069,0.9996073612472401,Likely Flourishing,23025315
63,1.178190504082124e-08,4.2140480713627494e-08,1.3849533785516833e-07,At-Risk,23050902
64,0.0030202470404214017,0.007707971772150424,0.020464127488654303,At-Risk,23004581
65,0.0013439437065352186,0.002136688053346801,0.00353088795348443,At-Risk,23060572
66,0.9679739584752084,0.9853375494694974,0.9931882545763152,Likely Flourishing,23124332
67,0.9999955102853983,0.9999978950679935,0.9999989911477765,Likely Flourishing,23163001
68,0.9828839224230709,0.9933690677582948,0.997014592968868,Likely Flourishing,23367990
69,3.480275030807963e-10,3.952704653877308e-09,4.539645838328333e-08,At-Risk,23339072
70,0.9730340911328188,0.9817379098442391,0.987714483373456,Likely Flourishing,23201171
